ID,Set Number,Card Name,Rarity,Artist,Normal Price($),Holo Foil Price ($),Reverse Holo Price ($),First Edition Holo Price ($),First Edition Normal Price ($),Updated At (YYYY/MM/DD)
gym1-94,94,Sabrina's Mr. Mime,Common,Ken Sugimori,,,,,,2023/09/10
gym1-95,95,Sabrina's Slowpoke,Common,Ken Sugimori,,,,,,2023/09/10
gym1-96,96,Sabrina's Venonat,Common,Ken Sugimori,,,,,,2023/09/10
gym1-97,97,Blaine's Quiz #1,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-98,98,Brock,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-99,99,Charity,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-100,100,Erika,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-101,101,Lt. Surge,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-102,102,Misty,Rare,Ken Sugimori,,,,,,2023/09/10
gym1-103,103,No Removal Gym,Rare,Keiji Kinebuchi,,,,,,2023/09/10
gym1-104,104,The Rocket's Training Gym,Rare,Keiji Kinebuchi,,,,,,2023/09/10
gym1-105,105,Blaine's Last Resort,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-106,106,Brock's Training Method,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-107,107,Celadon City Gym,Uncommon,Keiji Kinebuchi,,,,,,2023/09/10
gym1-108,108,Cerulean City Gym,Uncommon,Keiji Kinebuchi,,,,,,2023/09/10
gym1-109,109,Erika's Maids,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-110,110,Erika's Perfume,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-111,111,Good Manners,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-112,112,Lt. Surge's Treaty,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-113,113,Minion of Team Rocket,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-114,114,Misty's Wrath,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-115,115,Pewter City Gym,Uncommon,Keiji Kinebuchi,,,,,,2023/09/10
gym1-116,116,Recall,Uncommon,Sumiyoshi Kizuki,,,,,,2023/09/10
gym1-117,117,Sabrina's ESP,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-118,118,Secret Mission,Uncommon,Ken Sugimori,,,,,,2023/09/10
gym1-119,119,Tickling Machine,Uncommon,Sumiyoshi Kizuki,,,,,,2023/09/10
gym1-120,120,Vermilion City Gym,Uncommon,Keiji Kinebuchi,,,,,,2023/09/10
gym1-121,121,Blaine's Gamble,Common,Ken Sugimori,,,,,,2023/09/10
gym1-122,122,Energy Flow,Common,Keiji Kinebuchi,,,,,,2023/09/10
gym1-123,123,Misty's Duel,Common,Ken Sugimori,,,,,,2023/09/10
gym1-124,124,Narrow Gym,Common,Keiji Kinebuchi,,,,,,2023/09/10
gym1-125,125,Sabrina's Gaze,Common,Ken Sugimori,,,,,,2023/09/10
gym1-126,126,Trash Exchange,Common,Keiji Kinebuchi,,,,,,2023/09/10
gym1-127,127,Fighting Energy,,Keiji Kinebuchi,,,,,,2023/09/10
gym1-128,128,Fire Energy,,Keiji Kinebuchi,,,,,,2023/09/10
gym1-129,129,Grass Energy,,Keiji Kinebuchi,,,,,,2023/09/10
gym1-130,130,Lightning Energy,,Keiji Kinebuchi,,,,,,2023/09/10
gym1-131,131,Psychic Energy,,Keiji Kinebuchi,,,,,,2023/09/10
gym1-132,132,Water Energy,,Keiji Kinebuchi,,,,,,2023/09/10
