ID,Set Number,Card Name,Rarity,Artist,TCG Normal,TCG Holo,TCG Reverse,Normal Price($),Reverse Holo Price ($),Updated At (YYYY/MM/DD)
ex8-91,91,Space Center,Uncommon,Ryo Ueda,1.62,0.0,11.37,1.43,0.0,2023/09/14
ex8-92,92,Strength Charm,Uncommon,Keiji Kinebuchi,0.75,0.0,3.16,0.63,0.0,2023/09/14
ex8-93,93,Boost Energy,Uncommon,Shin-ichi Yoshikawa,0.96,0.0,9.78,0.9,0.0,2023/09/14
ex8-94,94,Heal Energy,Uncommon,Takumi Akabane,4.21,0.0,7.43,2.71,5.2,2023/09/14
ex8-95,95,Scramble Energy,Uncommon,Takumi Akabane,3.42,0.0,18.02,2.19,0.0,2023/09/14
ex8-96,96,Crobat ex,Rare Holo EX,Ryo Ueda,0.0,79.99,0.0,14.98,0.0,2023/09/14
ex8-97,97,Deoxys ex,Rare Holo EX,Mitsuhiro Arita,0.0,78.88,0.0,13.99,0.0,2023/09/14
ex8-98,98,Deoxys ex,Rare Holo EX,Mitsuhiro Arita,0.0,100.59,0.0,9.0,0.0,2023/09/14
ex8-99,99,Deoxys ex,Rare Holo EX,Mitsuhiro Arita,0.0,80.52,0.0,0.0,0.0,2023/09/14
ex8-100,100,Hariyama ex,Rare Holo EX,Ryo Ueda,0.0,44.99,0.0,18.84,0.0,2023/09/14
ex8-101,101,Manectric ex,Rare Holo EX,Hikaru Koike,0.0,49.99,0.0,44.63,0.0,2023/09/14
ex8-102,102,Rayquaza ex,Rare Holo EX,Shin-ichi Yoshikawa,0.0,114.85,0.0,42.14,0.0,2023/09/14
ex8-103,103,Salamence ex,Rare Holo EX,Hikaru Koike,0.0,85.84,0.0,91.0,0.0,2023/09/14
ex8-104,104,Sharpedo ex,Rare Holo EX,Hikaru Koike,0.0,65.2,0.0,13.16,0.0,2023/09/14
ex8-105,105,Latias ★,Rare Holo Star,Masakazu Fukuda,0.0,450.0,0.0,425.0,0.0,2023/09/14
ex8-106,106,Latios ★,Rare Holo Star,Masakazu Fukuda,0.0,209.99,0.0,1805.33,0.0,2023/09/14
ex8-107,107,Rayquaza ★,Rare Holo Star,Masakazu Fukuda,0.0,1500.0,0.0,3753.0,0.0,2023/09/14
ex8-108,108,Rocket's Raikou ex,Rare Secret,Ryo Ueda,0.0,149.49,0.0,22.31,0.0,2023/09/14
