ID,Set Number,Card Name,Rarity,Artist,Normal Price($),Holo Foil Price ($),Reverse Holo Price ($),First Edition Holo Price ($),First Edition Normal Price ($),Updated At (YYYY/MM/DD)
swsh12pt5gg-GG53,GG53,Hoopa V,Rare Holo V,OKACHEKE,,4.98,,,,2023/05/07
swsh12pt5gg-GG54,GG54,Zamazenta V,Rare Holo V,Haru Akasaka,,8.72,,,,2023/05/07
swsh12pt5gg-GG55,GG55,Regigigas VSTAR,Rare Holo VSTAR,Aya Kusube,,9.39,,,,2023/05/07
swsh12pt5gg-GG56,GG56,Hisuian Zoroark VSTAR,Rare Holo VSTAR,SIE NANAHARA,,17.78,,,,2023/05/07
swsh12pt5gg-GG57,GG57,Adaman,Rare Ultra,Naoki Saito,,4.86,,,,2023/05/07
swsh12pt5gg-GG58,GG58,Cheren's Care,Rare Ultra,chibi,,3.36,,,,2023/05/07
swsh12pt5gg-GG59,GG59,Colress's Experiment,Rare Ultra,kantaro,,10.46,,,,2023/05/07
swsh12pt5gg-GG60,GG60,Cynthia's Ambition,Rare Ultra,Atsuya Uki,,13.2,,,,2023/05/07
swsh12pt5gg-GG61,GG61,Gardenia's Vigor,Rare Ultra,Yoriyuki Ikegami,,8.39,,,,2023/05/07
swsh12pt5gg-GG62,GG62,Grant,Rare Ultra,Oswaldo KATO,,2.65,,,,2023/05/07
swsh12pt5gg-GG63,GG63,Irida,Rare Ultra,Naoki Saito,,17.21,,,,2023/05/07
swsh12pt5gg-GG64,GG64,Melony,Rare Ultra,saino misaki,,8.62,,,,2023/05/07
swsh12pt5gg-GG65,GG65,Raihan,Rare Ultra,GIDORA,,5.63,,,,2023/05/07
swsh12pt5gg-GG66,GG66,Roxanne,Rare Ultra,Toshinao Aoki,,9.49,,,,2023/05/07
swsh12pt5gg-GG67,GG67,Origin Forme Palkia VSTAR,Rare Secret,AKIRA EGAWA,,42.51,,,,2023/05/07
swsh12pt5gg-GG68,GG68,Origin Forme Dialga VSTAR,Rare Secret,AKIRA EGAWA,,44.93,,,,2023/05/07
swsh12pt5gg-GG69,GG69,Giratina VSTAR,Rare Secret,AKIRA EGAWA,,101.91,,,,2023/05/07
swsh12pt5gg-GG70,GG70,Arceus VSTAR,Rare Secret,AKIRA EGAWA,,70.21,,,,2023/05/07
